Wall time,Step,Value
1727107632.455289,1,0.12091042846441269
1727110956.077111,2,0.10138959437608719
1727114273.7995617,3,0.09749472886323929
1727117597.0673625,4,0.09552057087421417
1727120910.2996092,5,0.09440965205430984
1727124229.8107054,6,0.09393113851547241
1727127542.3463657,7,0.09309106320142746
1727130854.6240776,8,0.09268496930599213
1727134173.3992043,9,0.0921805202960968
1727137483.1093767,10,0.09200947731733322
1727140800.2624767,11,0.09174925833940506
1727144112.1513438,12,0.09147723019123077
1727147429.5215526,13,0.09154608100652695
1727150740.2448866,14,0.09140495210886002
1727154063.9577837,15,0.09127922356128693
1727157383.7054865,16,0.0911794900894165
1727160705.4867487,17,0.09121735394001007
1727164022.5342479,18,0.0913923904299736
1727167343.0397196,19,0.0912143662571907
1727170663.0449886,20,0.09135592728853226
1727173983.659756,21,0.08357508480548859
1727177272.33672,22,0.082227423787117
1727180512.8871648,23,0.08176770061254501
1727183754.775355,24,0.08143437653779984
1727186970.4675074,25,0.0812053233385086
1727190173.3955142,26,0.08107293397188187
1727193377.2039819,27,0.08083226531744003
1727196510.7302077,28,0.08077411353588104
1727199769.760797,29,0.08063522726297379
1727203022.4086268,30,0.08041290193796158
1727206263.910347,31,0.08047962188720703
1727209508.1115487,32,0.08035565912723541
1727212757.6802447,33,0.0802970752120018
1727215988.773975,34,0.07896579802036285
1727219232.8129108,35,0.07887467741966248
