traj_idx,frame,x,y,alpha,D,state
4.0,0.0,87.7346373403549,129.10106556426575,1.5,1.5,2.0
4.0,1.0,84.89611021965975,132.45403734157455,1.5,1.5,2.0
4.0,2.0,82.34002371280232,131.63686276821292,1.5,1.5,2.0
4.0,3.0,83.00526963410778,131.75393618522884,1.5,1.5,2.0
4.0,4.0,79.39580867012131,131.39759570364276,1.5,1.5,2.0
4.0,5.0,74.06630371368516,128.44801274562974,1.5,1.5,2.0
4.0,6.0,74.19574930818344,129.07553927582617,1.5,1.5,2.0
4.0,7.0,72.87344922333328,129.5502935115176,1.5,1.5,2.0
4.0,8.0,69.4027687408795,131.20143649386335,1.0,0.3,1.0
4.0,9.0,68.93099700480178,132.77567344172311,1.0,0.3,1.0
4.0,10.0,69.33872401072209,132.81844076830387,1.0,0.3,1.0
4.0,11.0,69.04681739018022,132.89750539244199,1.0,0.3,1.0
4.0,12.0,67.52272583075941,132.3872434903498,1.0,0.3,1.0
4.0,13.0,68.31232513780164,133.26525714379125,1.0,0.3,1.0
4.0,14.0,68.45588913551161,131.76677725497038,1.0,0.3,1.0
4.0,15.0,67.1815924662492,131.16449658844823,1.0,0.3,1.0
4.0,16.0,66.2337193820127,131.86563001646732,1.0,0.3,1.0
4.0,17.0,66.50666021159756,131.50159758672282,1.0,0.3,1.0
4.0,18.0,65.73039765437422,131.49564261219774,1.0,0.3,1.0
4.0,19.0,65.77257889509906,132.38860281264184,1.0,0.3,1.0
4.0,20.0,65.76514153556231,134.13019568472967,1.0,0.3,1.0
4.0,21.0,65.5743905641849,134.32496132633398,1.0,0.3,1.0
4.0,22.0,65.07982387206638,134.0637643761031,1.0,0.3,1.0
4.0,23.0,64.45037601441945,134.30718478066157,1.0,0.3,1.0
4.0,24.0,63.94269234072198,133.92357774701767,1.0,0.3,1.0
4.0,25.0,65.05342801792752,132.796009327696,1.0,0.3,1.0
4.0,26.0,65.0149220989405,131.89807407327882,1.0,0.3,1.0
4.0,27.0,65.20179658122572,132.111918650093,1.0,0.3,1.0
4.0,28.0,64.44379129859226,132.42938243254483,1.0,0.3,1.0
4.0,29.0,64.39941532267066,132.2679494542818,1.0,0.3,1.0
4.0,30.0,63.50179988103735,132.5798406401329,1.0,0.3,1.0
4.0,31.0,63.70822722181513,131.49336448919289,1.0,0.3,1.0
4.0,32.0,64.27502819810123,131.50889738728551,1.0,0.3,1.0
4.0,33.0,65.0166182883827,131.06691949434384,1.0,0.3,1.0
4.0,34.0,64.81451286926043,130.23355902463723,1.0,0.3,1.0
4.0,35.0,65.24933520308822,130.3383226178943,1.0,0.3,1.0
4.0,36.0,65.37718426397777,130.9987302083927,1.0,0.3,1.0
4.0,37.0,65.0916890702499,132.61873062494038,1.0,0.3,1.0
4.0,38.0,65.28062468884104,132.4412948094629,1.0,0.3,1.0
4.0,39.0,64.16137107578098,132.7223939432892,1.0,0.3,1.0
4.0,40.0,64.64253399250221,133.36417949414496,1.0,0.3,1.0
4.0,41.0,65.41363990545267,132.26352040272337,1.0,0.3,1.0
4.0,42.0,63.91005167902613,132.21520570296073,1.0,0.3,1.0
4.0,43.0,63.56648999049762,133.17053752162758,1.0,0.3,1.0
4.0,44.0,63.51979683521173,134.38481333130977,1.0,0.3,1.0
4.0,45.0,63.2646834020225,132.55412096359527,1.0,0.3,1.0
4.0,46.0,63.180216014634155,133.44232327187308,1.0,0.3,1.0
4.0,47.0,62.92793317643984,133.49725194346132,1.0,0.3,1.0
4.0,48.0,63.03881353550971,134.18237382428734,1.0,0.3,1.0
4.0,49.0,63.03487512988507,133.91373321914486,1.0,0.3,1.0
4.0,50.0,63.797097520609896,133.2632141562638,1.0,0.3,1.0
4.0,51.0,64.4196913377197,132.2706295173097,1.0,0.3,1.0
4.0,52.0,65.54031872897164,132.0677450546507,1.0,0.3,1.0
4.0,53.0,65.39143956257172,131.69057945246544,1.0,0.3,1.0
4.0,54.0,65.10144406842775,131.91633144724787,1.0,0.3,1.0
4.0,55.0,65.15163339363858,132.49276635422257,1.0,0.3,1.0
4.0,56.0,63.611056531884934,133.29927190435544,1.0,0.3,1.0
4.0,57.0,64.46957301632997,134.14119104798718,1.0,0.3,1.0
4.0,58.0,64.43761487818372,134.08238393765654,1.0,0.3,1.0
4.0,59.0,64.42745241466073,134.75243049617097,1.0,0.3,1.0
4.0,60.0,63.5914325314217,134.33202168410241,1.0,0.3,1.0
4.0,61.0,64.73816206627173,133.5152885930154,1.0,0.3,1.0
4.0,62.0,64.6962440391643,133.012297015876,1.0,0.3,1.0
4.0,63.0,64.19910395782917,131.8630300371434,1.0,0.3,1.0
4.0,64.0,65.20797504617629,131.26824778687896,1.0,0.3,1.0
4.0,65.0,64.48517952515601,133.37012456796776,1.0,0.3,1.0
4.0,66.0,63.74593945872224,133.30336554614013,1.0,0.3,1.0
4.0,67.0,62.89456571869146,133.9835301036221,1.0,0.3,1.0
4.0,68.0,64.01055530735694,134.5170193453553,1.0,0.3,1.0
4.0,69.0,64.4154962298391,134.43691984906656,1.0,0.3,1.0
4.0,70.0,63.83435661919863,134.373651300989,1.0,0.3,1.0
4.0,71.0,62.55870389566914,133.53468654238068,1.0,0.3,1.0
4.0,72.0,62.18170117996615,132.12526649375326,1.0,0.3,1.0
4.0,73.0,62.75028831823758,132.26812653727882,1.0,0.3,1.0
4.0,74.0,62.44786505824995,133.1195613238991,1.0,0.3,1.0
4.0,75.0,63.400038875289994,134.06204018732572,1.0,0.3,1.0
4.0,76.0,64.55157746080751,134.15463596394125,1.0,0.3,1.0
4.0,77.0,64.8046643476828,134.89701206766856,1.0,0.3,1.0
4.0,78.0,63.422257589553574,134.1732641136021,1.0,0.3,1.0
4.0,79.0,63.30935527383035,133.57704019309642,1.0,0.3,1.0
4.0,80.0,63.51604503628947,133.60041527941462,1.0,0.3,1.0
4.0,81.0,64.16922338807564,134.30493244075456,1.0,0.3,1.0
4.0,82.0,64.54955170300018,134.59817143169013,1.0,0.3,1.0
4.0,83.0,64.05290832803068,134.7454634981828,1.0,0.3,1.0
4.0,84.0,63.62556397344922,134.26715151256118,1.0,0.3,1.0
4.0,85.0,64.18134727110483,133.64144860198553,1.0,0.3,1.0
4.0,86.0,64.13204159061276,133.81079417947706,1.0,0.3,1.0
4.0,87.0,64.59646126514744,134.48183250460113,1.0,0.3,1.0
4.0,88.0,65.20936294075527,134.06227895090376,1.0,0.3,1.0
4.0,89.0,65.79229103811673,133.89461287639955,1.0,0.3,1.0
4.0,90.0,65.41171224996417,134.85706897744086,1.0,0.3,1.0
4.0,91.0,64.33123718153912,134.67618976167145,1.0,0.3,1.0
4.0,92.0,64.99362862995464,134.84280612815485,1.0,0.3,1.0
4.0,93.0,65.26654597670249,134.79989854203254,1.0,0.3,1.0
4.0,94.0,63.05046731671133,133.22971410733888,1.0,0.3,1.0
4.0,95.0,63.205998518915514,133.37041481983627,1.0,0.3,1.0
4.0,96.0,63.78823205272653,132.85804867022355,1.0,0.3,1.0
4.0,97.0,64.54170848445007,134.01427802314728,1.0,0.3,1.0
4.0,98.0,64.99381205177092,132.2134557015506,1.0,0.3,1.0
4.0,99.0,64.88115145843402,132.26925852673762,1.0,0.3,1.0
4.0,100.0,64.74815969742231,132.49688593682802,1.0,0.3,1.0
4.0,101.0,65.44921688552941,133.034807129142,1.0,0.3,1.0
4.0,102.0,65.04234572446961,133.4657118335422,1.0,0.3,1.0
4.0,103.0,66.0111591967021,134.24439222005427,1.0,0.3,1.0
4.0,104.0,66.54140806879084,133.2688609822152,1.0,0.3,1.0
4.0,105.0,66.6392011913138,133.74813423594452,1.0,0.3,1.0
4.0,106.0,66.49092898859598,134.6055856490845,1.0,0.3,1.0
4.0,107.0,67.01823944342163,133.61287625046936,1.0,0.3,1.0
4.0,108.0,68.41903833942958,133.61212662947716,1.0,0.3,1.0
4.0,109.0,68.59559833933075,133.67503924002602,1.0,0.3,1.0
4.0,110.0,68.80401857865098,132.97011488699945,1.0,0.3,1.0
4.0,111.0,69.54770951753402,131.7875746303828,1.0,0.3,1.0
4.0,112.0,69.71757730993497,132.01494342343733,1.0,0.3,1.0
4.0,113.0,70.30935731148966,131.1282664788413,1.0,0.3,1.0
4.0,114.0,70.03621906564773,131.02039297880194,1.0,0.3,1.0
4.0,115.0,69.85007251117132,131.34936421184048,1.0,0.3,1.0
4.0,116.0,69.62800680435237,131.10919227548303,1.0,0.3,1.0
4.0,117.0,68.99596729344486,131.5544287027274,1.0,0.3,1.0
4.0,118.0,69.396254352103,130.8278903968912,1.0,0.3,1.0
4.0,119.0,69.08888807228867,130.49979577795966,1.0,0.3,1.0
4.0,120.0,67.78884386172136,130.73809747736956,1.0,0.3,1.0
4.0,121.0,66.71108685373574,130.04269136945308,1.0,0.3,1.0
4.0,122.0,66.99628021730486,130.25377216691487,1.0,0.3,1.0
4.0,123.0,66.78341205081989,131.20530554023654,1.0,0.3,1.0
4.0,124.0,67.6712918633305,131.33053907589445,1.0,0.3,1.0
4.0,125.0,68.53313100133006,130.4046256404872,1.0,0.3,1.0
4.0,126.0,69.01534228758226,129.109582200912,1.0,0.3,1.0
4.0,127.0,69.7639147225086,130.2034368532895,1.0,0.3,1.0
4.0,128.0,68.55610719560524,129.39123615525207,1.0,0.3,1.0
4.0,129.0,69.15630163857243,128.6115554059784,1.0,0.3,1.0
4.0,130.0,68.60480076196993,129.51584737569735,1.0,0.3,1.0
4.0,131.0,69.27588257814033,130.411274156388,1.0,0.3,1.0
4.0,132.0,70.35279187389938,130.12307731191797,1.0,0.3,1.0
4.0,133.0,68.4864915217573,129.33742802860849,1.0,0.3,1.0
4.0,134.0,68.15721834880443,128.46197785865218,1.0,0.3,1.0
4.0,135.0,68.06161014845482,126.6691331367479,1.0,0.3,1.0
4.0,136.0,68.49675502102679,126.76005351850749,1.0,0.3,1.0
4.0,137.0,67.6821542054046,126.5568674924212,1.0,0.3,1.0
4.0,138.0,68.8496583452551,127.23572287599801,1.0,0.3,1.0
4.0,139.0,69.28781771360741,126.9272540726254,1.0,0.3,1.0
4.0,140.0,68.87727182067374,127.47851050666489,1.0,0.3,1.0
4.0,141.0,69.27382661713204,127.8080588831486,1.0,0.3,1.0
4.0,142.0,69.4427374769987,128.04073884279498,1.0,0.3,1.0
4.0,143.0,68.48587444182603,128.68330134817754,1.0,0.3,1.0
4.0,144.0,68.84075805795815,130.10981468580155,1.0,0.3,1.0
4.0,145.0,68.27574188750914,130.63706001680728,1.0,0.3,1.0
4.0,146.0,67.76845591171025,131.07952421752805,1.0,0.3,1.0
4.0,147.0,68.80691223793879,130.87331440449273,1.0,0.3,1.0
4.0,148.0,68.80725146753521,131.05488384195894,1.0,0.3,1.0
4.0,149.0,68.79437988186316,131.38137854199496,1.0,0.3,1.0
4.0,150.0,67.52621446341534,131.00239879382184,1.0,0.3,1.0
4.0,151.0,68.4026240430934,132.00102545323793,1.0,0.3,1.0
4.0,152.0,68.78255782481328,133.17576854191225,1.0,0.3,1.0
4.0,153.0,68.10619332690969,131.81174405977436,1.0,0.3,1.0
4.0,154.0,67.93919240913526,133.02017789390507,1.0,0.3,1.0
