traj_idx,frame,x,y,alpha,D,state
8.0,0.0,43.932140128257615,117.53587100687838,1.0,1.0,2.0
8.0,1.0,42.05437910270917,117.31207467872588,1.0,1.0,2.0
8.0,2.0,42.736420165204954,117.28280427668217,1.0,1.0,2.0
8.0,3.0,40.403216294053536,115.02894820984768,1.0,1.0,2.0
8.0,4.0,39.523591622464814,113.5347106139501,1.0,1.0,2.0
8.0,5.0,40.37449515442286,114.69199325440917,1.0,1.0,2.0
8.0,6.0,41.30740408336268,111.52063131323017,1.0,1.0,2.0
8.0,7.0,42.21696426153838,110.57346139575384,1.0,1.0,2.0
8.0,8.0,44.88838351148015,113.93474042652628,1.0,1.0,2.0
8.0,9.0,45.583091827662216,115.57966133027364,1.0,1.0,2.0
8.0,10.0,45.569856939241724,115.44217208245888,1.0,1.0,2.0
8.0,11.0,44.001957266296685,114.07363338236839,1.0,1.0,2.0
8.0,12.0,41.97097174022166,114.97692194466738,1.0,1.0,2.0
8.0,13.0,44.38034346298219,115.63987122109782,1.0,1.0,2.0
8.0,14.0,48.04382485924594,117.44186425575577,1.0,1.0,2.0
8.0,15.0,49.57062809843467,117.46093714009743,1.0,1.0,2.0
8.0,16.0,49.22695125997111,118.11472539569633,1.0,1.0,2.0
8.0,17.0,48.53614168012346,116.46117895465295,1.0,1.0,2.0
8.0,18.0,48.65703342937662,118.19561956041206,1.0,1.0,2.0
8.0,19.0,49.83993766697789,120.08682324737028,1.0,1.0,2.0
8.0,20.0,49.840149621178526,119.99614787605222,1.0,1.0,2.0
8.0,21.0,47.8595606894396,121.17492272837757,1.0,1.0,2.0
8.0,22.0,47.58942760498618,122.09738945107286,1.0,1.0,2.0
8.0,23.0,47.90029400526851,122.69851324211416,1.0,1.0,2.0
8.0,24.0,50.17375667969198,122.2447626136911,1.0,1.0,2.0
8.0,25.0,51.02014843502165,121.69404191694453,1.0,1.0,2.0
8.0,26.0,51.06999085961486,122.96744751846998,1.0,1.0,2.0
8.0,27.0,51.274084831539604,120.65021782578259,1.0,1.0,2.0
8.0,28.0,52.410018627075004,118.65049408609244,1.0,1.0,2.0
8.0,29.0,54.76159886077713,117.68420757812126,1.0,1.0,2.0
8.0,30.0,52.645292279625124,116.45013639387957,1.0,1.0,2.0
8.0,31.0,53.810582809408245,118.56936942975035,1.0,1.0,2.0
8.0,32.0,52.90595453178141,116.4823577290353,1.0,1.0,2.0
8.0,33.0,54.3510709509903,115.51226975238355,1.0,1.0,2.0
8.0,34.0,53.98268507539972,113.02750947101119,1.0,1.0,2.0
8.0,35.0,51.96602082184037,114.2638443262822,1.0,1.0,2.0
8.0,36.0,53.475347471656,113.96467962295112,1.0,1.0,2.0
8.0,37.0,53.67950495101671,111.92477039176327,1.0,1.0,2.0
8.0,38.0,51.61796441048117,110.30738346871445,1.0,1.0,2.0
8.0,39.0,52.58647015562156,111.20010463115958,1.0,1.0,2.0
8.0,40.0,52.02141557037021,111.48202337293897,1.0,1.0,2.0
8.0,41.0,52.18667787597269,111.86275520410021,1.0,1.0,2.0
8.0,42.0,49.438020389485025,111.92096372413523,1.0,1.0,2.0
8.0,43.0,49.60986620694421,110.83386008894878,1.0,1.0,2.0
8.0,44.0,48.537452787179454,110.41626923181583,1.0,1.0,2.0
8.0,45.0,50.67024237181257,108.18868295554445,1.0,1.0,2.0
8.0,46.0,50.96998436752015,105.99694021644709,1.0,1.0,2.0
8.0,47.0,53.680129313401274,106.13376629763786,1.0,1.0,2.0
8.0,48.0,53.928727208888276,106.87843191981655,1.0,1.0,2.0
8.0,49.0,51.74571310042355,106.9273189017636,1.0,1.0,2.0
