traj_idx,frame,x,y,alpha,D,state
6.0,0.0,116.19088327032391,77.73220218066369,1.0,1.0,2.0
6.0,1.0,115.18798755100819,78.04248932261292,1.0,1.0,2.0
6.0,2.0,115.64479832895117,78.92394809134765,1.0,1.0,2.0
6.0,3.0,114.1539893281332,77.8401000898362,1.0,1.0,2.0
6.0,4.0,114.78221198403462,75.33369148151222,1.0,1.0,2.0
6.0,5.0,111.72608254362446,78.03429923896633,1.0,1.0,2.0
6.0,6.0,112.89816182715543,77.3987460122291,1.0,1.0,2.0
6.0,7.0,113.3325057365149,78.72771057684032,1.0,1.0,2.0
6.0,8.0,111.61944750684599,79.62120029272747,1.0,1.0,2.0
6.0,9.0,113.37673671418978,79.57902421324843,1.0,1.0,2.0
6.0,10.0,116.96594167799014,79.94118113919185,1.0,1.0,2.0
6.0,11.0,116.05455715030492,80.83603880589274,1.0,1.0,2.0
6.0,12.0,117.89933562253557,80.84413164049641,1.0,1.0,2.0
6.0,13.0,116.52958855780966,80.3114089482463,1.0,1.0,2.0
6.0,14.0,115.78476807260493,79.48783662938538,1.0,1.0,2.0
6.0,15.0,116.07476170907225,79.51780493438224,1.0,1.0,2.0
6.0,16.0,112.787809714256,76.12998653545601,1.0,1.0,2.0
6.0,17.0,113.70127903328243,75.84708099225817,1.0,1.0,2.0
6.0,18.0,115.60016759728914,75.53136273377683,1.0,1.0,2.0
6.0,19.0,115.29025662504486,73.65503967149046,1.0,1.0,2.0
6.0,20.0,112.38784585846777,71.96873368843744,1.0,1.0,2.0
6.0,21.0,111.79649365863013,72.9721274066467,1.0,1.0,2.0
6.0,22.0,112.28525445567564,71.90356670430546,1.0,1.0,2.0
6.0,23.0,114.23213494449281,74.89252030089527,1.0,1.0,2.0
6.0,24.0,115.75280510216173,76.22451913916007,1.0,1.0,2.0
6.0,25.0,113.4441671778879,77.22033691235801,1.0,1.0,2.0
6.0,26.0,113.02201175246365,77.75676789182785,1.0,1.0,2.0
6.0,27.0,111.61705560055837,80.32814941021063,1.0,1.0,2.0
6.0,28.0,113.22514497293061,80.54130073592847,1.0,1.0,2.0
6.0,29.0,113.49314435633605,80.01777782991788,1.0,1.0,2.0
6.0,30.0,115.40710962179405,80.11041992557547,1.0,1.0,2.0
6.0,31.0,114.96134290230714,78.29056978035354,1.0,1.0,2.0
6.0,32.0,116.68795954848511,80.31929771294399,1.0,1.0,2.0
6.0,33.0,115.67487062964894,78.48163258092194,1.0,1.0,2.0
6.0,34.0,114.56592968342225,78.03178838368224,1.0,1.0,2.0
6.0,35.0,114.13041203767159,77.3790498540049,1.0,1.0,2.0
6.0,36.0,114.65587310430017,78.2040489771533,1.0,1.0,2.0
6.0,37.0,114.99532550155263,75.91347584272336,1.0,1.0,2.0
6.0,38.0,114.35503367721661,75.23723053997907,1.0,1.0,2.0
6.0,39.0,113.36903082080761,76.96820530276777,1.0,1.0,2.0
6.0,40.0,111.20019564286923,78.72023563372184,1.0,1.0,2.0
6.0,41.0,109.88306206708418,78.53672173194987,1.0,1.0,2.0
6.0,42.0,110.65888541348212,80.59680734560668,1.0,1.0,2.0
6.0,43.0,111.08713247892885,80.01879270403434,1.0,1.0,2.0
6.0,44.0,111.53199713108123,78.04908659589381,1.0,1.0,2.0
6.0,45.0,111.88223333981641,79.26139224743916,1.0,1.0,2.0
6.0,46.0,112.48890105764178,81.28454970305614,1.0,1.0,2.0
6.0,47.0,110.38646383942837,81.15252933924093,1.0,1.0,2.0
6.0,48.0,110.62221282678203,84.01548177422579,1.0,1.0,2.0
6.0,49.0,112.90572207621958,84.40207370134132,1.0,1.0,2.0
6.0,50.0,113.87529793336846,84.01697683669157,1.0,1.0,2.0
6.0,51.0,114.3965331970934,84.45928740390154,1.0,1.0,2.0
6.0,52.0,113.64801047923052,83.77319787540213,1.0,1.0,2.0
6.0,53.0,111.84692088881808,82.58010631066583,1.0,1.0,2.0
6.0,54.0,111.50988161604205,83.45870348381493,1.0,1.0,2.0
6.0,55.0,111.41711918502165,84.1136637229745,1.0,1.0,2.0
6.0,56.0,112.06859412229092,83.92538629848478,1.0,1.0,2.0
6.0,57.0,111.6808523313296,83.06737625448098,1.0,1.0,2.0
6.0,58.0,114.91339859681804,82.43566082540671,1.0,1.0,2.0
6.0,59.0,115.81303152848342,82.00833357432346,1.0,1.0,2.0
6.0,60.0,113.75006736552922,81.5377678665773,1.0,1.0,2.0
6.0,61.0,113.21076255101791,81.34237107331096,1.0,1.0,2.0
6.0,62.0,112.2908099632038,78.2082283214059,1.0,1.0,2.0
6.0,63.0,113.96124182701696,77.31348960580642,1.0,1.0,2.0
6.0,64.0,112.05825208088623,76.2180260419378,1.0,1.0,2.0
6.0,65.0,112.6157265599682,73.44964067062824,1.0,1.0,2.0
6.0,66.0,113.72731139419302,72.02518797592789,1.0,1.0,2.0
6.0,67.0,112.12874489771822,68.64498046803475,1.0,1.0,2.0
6.0,68.0,111.09779858796206,67.11965463058769,1.0,1.0,2.0
6.0,69.0,109.93542271794472,69.16800539869878,1.0,1.0,2.0
6.0,70.0,108.61380741174848,68.08031771256127,1.0,1.0,2.0
6.0,71.0,106.96373475303292,67.17055681817867,1.0,1.0,2.0
6.0,72.0,107.13349104981326,67.40859008932759,0.0,0.0,0.0
6.0,73.0,107.11583688742503,67.31214493637789,0.0,0.0,0.0
6.0,74.0,107.32408406025354,67.28032578924908,0.0,0.0,0.0
6.0,75.0,107.24185304011264,67.13110888849774,0.0,0.0,0.0
